PDID,county,PD,TP,P,NP,rate
7,Westmoreland,Allegheny County District Attorney,109,70,39,64%
7,Westmoreland,Allegheny Township Police Dept,242,137,105,57%
7,Westmoreland,Arnold City Police Dept,72,26,46,36%
7,Westmoreland,Delmont Boro Police Dept,54,14,40,26%
7,Westmoreland,Derry Boro Police Dept,255,225,30,88%
7,Westmoreland,Greensburg City Police Dept,220,196,24,89%
7,Westmoreland,Harmar Township Police Dept,79,49,30,62%
7,Westmoreland,Irwin Boro Police Dept,156,100,56,64%
7,Westmoreland,Jeannette City Police Dept,95,78,17,82%
7,Westmoreland,Latrobe City Police Dept,45,32,13,71%
7,Westmoreland,Ligonier Boro Police Dept,73,58,15,79%
7,Westmoreland,Ligonier Township Police Dept,93,75,18,81%
7,Westmoreland,Lower Burrell Police Dept,132,97,35,73%
7,Westmoreland,Manor Police Dept,185,100,85,54%
7,Westmoreland,Monessen City Police Dept,178,104,74,58%
7,Westmoreland,Mt Pleasant Borough Police Dept,105,78,27,74%
7,Westmoreland,Murrysville Police Dept,258,211,47,82%
7,Westmoreland,N Belle Vernon Police Dept,262,216,46,82%
7,Westmoreland,N Huntingdon Township Police Dept,302,274,28,91%
7,Westmoreland,New Florence Boro Police Dept,331,284,47,86%
7,Westmoreland,New Kensington Police Dept,157,139,18,89%
7,Westmoreland,Penn Township Police Dept,119,106,13,89%
7,Westmoreland,Rostraver Township Police Dept,187,171,16,91%