ID,Crime,CNP
5,Felony,416
5,Misdemeanor,896
6,Felony,1
6,Misdemeanor,2
7,Felony,27
7,Misdemeanor,57
8,Felony,4
8,Misdemeanor,32
9,Felony,0
9,Misdemeanor,2
10,Felony,15
10,Misdemeanor,43
11,Felony,32
11,Misdemeanor,58
12,Felony,2
12,Misdemeanor,0
13,Felony,271
13,Misdemeanor,759
14,Felony,10
14,Misdemeanor,8
15,Felony,4
15,Misdemeanor,25
16,Felony,22
16,Misdemeanor,112
17,Felony,8
17,Misdemeanor,27
18,Felony,96
18,Misdemeanor,277
19,Felony,46
19,Misdemeanor,350
20,Felony,9
20,Misdemeanor,23
21,Felony,259
21,Misdemeanor,886
22,Felony,34
22,Misdemeanor,131
23,Felony,7
23,Misdemeanor,32
24,Felony,112
24,Misdemeanor,231
25,Felony,71
25,Misdemeanor,151
26,Felony,63
26,Misdemeanor,126
27,Felony,577
27,Misdemeanor,1672
28,Felony,33
28,Misdemeanor,200
29,Felony,13
29,Misdemeanor,54
30,Felony,134
30,Misdemeanor,292
31,Felony,85
31,Misdemeanor,250
32,Felony,26
32,Misdemeanor,49
33,Felony,26
33,Misdemeanor,55
34,Felony,14
34,Misdemeanor,42
35,Felony,17
35,Misdemeanor,41
36,Felony,10
36,Misdemeanor,66
37,Felony,38
37,Misdemeanor,87
38,Felony,186
38,Misdemeanor,625
39,Felony,21
39,Misdemeanor,38
40,Felony,242
40,Misdemeanor,486
41,Felony,128
41,Misdemeanor,691
42,Felony,42
42,Misdemeanor,145
43,Felony,41
43,Misdemeanor,83
44,Felony,50
44,Misdemeanor,112
45,Felony,2
45,Misdemeanor,19
46,Felony,28
46,Misdemeanor,96
47,Felony,16
47,Misdemeanor,13
48,Felony,208
48,Misdemeanor,371
49,Felony,11
49,Misdemeanor,51
50,Felony,26
50,Misdemeanor,88
51,Felony,4
51,Misdemeanor,2
52,Felony,58
52,Misdemeanor,159
53,Felony,68
53,Misdemeanor,224
54,Felony,124
54,Misdemeanor,550
55,Felony,64
55,Misdemeanor,179
56,Felony,108
56,Misdemeanor,289
57,Felony,97
57,Misdemeanor,450
58,Felony,14
58,Misdemeanor,14
59,Felony,30
59,Misdemeanor,68
60,Felony,77
60,Misdemeanor,160
61,Felony,341
61,Misdemeanor,1476
62,Felony,3
62,Misdemeanor,17